vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
320,10,360,10.84265873015873,14.758712093678232,2220.31677409079,2963.755906271725,2403.257950238857,2435.736036526535,1.0448959889956825e-12,2.2206844401156835e-31,9.816159300046889e-20,2.0199936334348109e-16,lognorm
320,11,360,11.369523809523809,15.019927836029922,2279.869988788114,2976.3877900027464,2444.648564003545,2470.8732637370213,5.858170597064527e-13,3.190211785716197e-30,1.3975680627757326e-18,1.9816006380825938e-14,lognorm
320,12,360,10.279444444444445,10.460276284031488,2216.369777194113,2715.8968515135666,2320.080139484793,2365.6933866781546,2.7000142205156465e-08,2.7904671222890004e-19,1.1891388122216905e-12,7.685170506716183e-10,lognorm
320,13,360,12.276402116402116,15.418460415941002,2346.769248547699,2995.2429181823136,2497.6608405806637,2524.2864894221834,3.594426585079907e-13,9.993996919267843e-25,9.411581294913414e-18,4.298953342053401e-14,lognorm
320,14,360,10.740535205535206,13.283954442733478,2204.720526056052,2887.956693205033,2366.91126182932,2416.1877352714105,8.68329923692144e-12,6.976646198375329e-24,6.639413553161071e-16,6.982489774617464e-15,lognorm
320,15,359,7.111827726590958,4.172980597394106,1722.203918056748,2048.554603206049,1789.328025761378,1910.1430438738162,6.5709177887641386e-09,1.0707417608416392e-18,1.4520127881597801e-12,7.502111667454626e-12,lognorm
320,16,360,7.306084656084656,6.572843706525707,1835.2682621102733,2381.3572749519353,1956.801799786623,2060.0355987337766,1.0982956750013232e-15,4.1206575437002335e-31,1.9102295768495058e-22,9.090064425173231e-20,lognorm
320,17,360,7.05765873015873,7.432577516556389,1786.1463258354634,2469.864091681051,1938.6766932008265,2055.7878600245685,1.6626913722907115e-13,2.685605257667315e-29,8.966062051290201e-21,2.521395785768234e-17,lognorm
320,18,360,6.384722222222222,3.6881904286358473,1676.3822590704922,1965.3336200046247,1725.5714629986887,1834.9949855318396,9.251779375474929e-09,2.108353613473058e-21,9.64120354274284e-13,6.274378946418495e-14,lognorm
320,19,360,6.354801587301588,3.0122713871744558,1685.4745179814456,1819.5757175681902,1704.4801154676345,1763.8630779364066,2.286156794305197e-06,1.2659860419557093e-16,3.411493759584197e-09,1.2902936364559266e-12,lognorm
320,20,360,7.0729329004329,4.652293432126889,1780.4153456042277,2132.535166546252,1846.1356681643836,1953.3189479635655,1.4405230009129505e-05,2.4363125069902646e-14,1.0667200705057096e-08,2.8172428605333178e-08,lognorm
320,21,360,6.528187830687831,7.537674137949977,1687.3444940306276,2479.973582466432,1863.7574468605796,2002.963204068386,8.459214544263008e-10,6.897547347963631e-34,1.0830520201481236e-17,3.728301453129654e-17,lognorm
320,22,359,6.058204005836318,3.9398180343567417,1588.1735876949979,2007.2724651751466,1653.765066990157,1810.6833904736832,1.4523862876066945e-06,1.5625398107578778e-22,2.8460706688435095e-10,4.7714924570580357e-14,lognorm
320,23,359,5.923570765353495,2.2880356284157255,1552.7067725676454,1617.0819041350007,1549.5871185340889,1605.5143365441286,4.103365297365747e-08,8.155652331110345e-14,3.3395367699037316e-08,4.772442577448074e-12,gamma
623,0,150,21.878420634920634,30.583722518576536,978.9869862872981,1455.821937037997,1000.2461615456225,996.1316630306403,1.56457656607598e-11,1.8851184214298038e-13,1.3698087685430793e-11,4.233912969379233e-11,lognorm
623,1,154,20.89491341991342,30.762416065130857,987.503514223097,1496.3315238949108,1011.2164339680763,1005.461557152735,9.187425754352244e-15,8.865783577952073e-13,6.216802202214982e-14,1.1691945844768566e-13,lognorm
623,2,153,16.854139433551197,25.661724638172604,930.7252779169203,1431.1653649935383,959.5977418395762,951.1536918592385,1.279485310433229e-12,9.486159932211272e-13,1.0042185545614088e-11,2.2323100274430025e-11,lognorm
623,3,154,12.130208333333332,20.70406789284706,803.3185693453161,1374.374769065396,855.2884663054508,836.9224406321691,5.209998960583892e-16,1.1204437339205712e-16,2.338341917600241e-15,4.3019040057994086e-14,lognorm
623,4,146,16.883105022831046,26.449955113736024,858.9369725188744,1374.704354389424,896.7595778766402,884.3309692410089,5.374722644670511e-13,5.316349338440316e-14,7.289265381022699e-13,6.111506873818738e-12,lognorm
623,5,147,20.364965986394555,28.806278627058635,956.8495232364653,1409.1823799142644,974.1045224965713,971.1146012077121,8.474563964314458e-12,1.919668604371903e-11,6.531664541628173e-12,1.6187567391201676e-11,lognorm
623,6,148,14.422015765765767,20.7745683818209,887.0559028212718,1321.9897569740788,908.5700158387718,903.6463404817775,1.0427398853297578e-12,1.435669175454044e-11,2.838583722697693e-12,9.920276667086333e-12,lognorm
623,7,150,19.027555555555555,29.157207560539725,914.317563729986,1441.4922019268463,950.8530906468923,939.4053035691571,2.4641911687314605e-10,1.4102698696067194e-13,1.199162290709319e-12,7.116078937248768e-11,lognorm
623,8,139,21.08441247002398,27.048808299261616,970.9977884318289,1315.2096520089353,973.1939223758707,975.4940711913816,2.0115261829578186e-07,5.160448864544925e-10,5.071200071425637e-08,8.771001719783957e-08,lognorm
623,9,138,23.341839199447897,29.388009347784838,1009.1411023375485,1328.6689770162398,1003.1266907298474,1008.079233015414,4.5281637080555654e-08,2.898828072375634e-07,1.4535604026096443e-07,5.62850965080494e-08,gamma
623,10,135,23.721728395061724,29.788045788701375,998.4747963246272,1303.5223385152094,992.2123088640911,996.8940279743683,9.596999459351439e-07,4.818116905466791e-07,3.825810305138482e-06,1.4828785165083301e-06,gamma
623,11,127,21.24245406824147,28.713187250519766,890.8390293009935,1217.178939275997,893.8361647638316,894.5308763145377,4.109958449387565e-08,3.7181807248840283e-08,1.6469539154857914e-07,9.413517617394358e-08,lognorm
623,12,149,21.185194224120394,27.96349706299864,1043.2382974441646,1419.4518779268749,1043.9151222355122,1046.7869664033617,1.0107257556589239e-08,2.2078083799219996e-08,7.110360599704788e-10,1.1285042884127408e-09,lognorm
623,13,151,28.635982339955845,31.26158952672962,1211.544755366966,1472.1212690576956,1181.5247214243095,1195.7460529767568,1.0360539825259311e-09,1.4784076224452423e-06,2.1279224587294452e-09,2.4826832966914943e-10,gamma
623,14,156,27.489102564102566,32.4795283242117,1182.3572866583681,1532.6591402227245,1169.9716171069535,1179.0633147490857,1.8398597599674365e-10,2.2510600358032992e-08,1.3350248887512088e-09,2.9740345103988694e-10,gamma
623,15,150,26.470888888888886,31.76368338484754,1130.5032857300146,1467.1786415357183,1119.6810521880157,1127.5942640401606,2.4845675662132e-09,8.8816521423541e-08,7.236628389232582e-09,2.215474698249915e-09,gamma
