trace,base,rho_cpu_net,r2_mu,r2_sigma,alpha,gamma
rnd,252.csv,0.2255875622241118,0.0523589848889122,0.3937677447662563,0.0341864821692328,-0.1802962270989876
rnd,430.csv,-0.03971346365859952,0.0099174469685366,0.011828260920827,-0.0024460376249982,-0.0294038626230252
rnd,449.csv,0.05359947936170107,0.0155930417222315,0.3309491975622495,0.0001739115912241,-0.0979094077404249
rnd,286.csv,0.2672797442256065,0.1695682922893413,0.0549926704017554,0.0032569802460245,-0.0451398347710242
rnd,133.csv,0.616631240407602,0.2156819302405139,0.0005979349499938,0.0210873136641538,-0.0192077907431552
rnd,112.csv,0.6148746253945354,0.882043393758913,0.8006872913651134,0.0199182367257006,-0.7936818185881785
rnd,47.csv,0.5207859334462496,0.1924334638272381,0.1547847113404505,0.0012520319688953,-0.3514160321350194
rnd,51.csv,0.44771613961155143,0.7408721819596564,0.2436887037995472,0.0026435152913131,-0.1454875969107694
rnd,294.csv,0.13199914557968312,0.949716221543052,0.939855100926486,0.048153234950525,-0.5322854220492989
rnd,298.csv,0.14491012695486685,0.0138456577001949,0.1445069896144756,0.0097388881907607,-3.751416997461498
rnd,496.csv,-0.6540200444716538,0.0660886163438266,0.2848448781178399,-0.0250824304975201,-0.2492674220562116
rnd,210.csv,0.7266746050252854,0.8366456075434529,0.6110401647714891,0.0014922877857759,-1.0345105602036224
rnd,56.csv,0.5476370653262244,0.4884270474233352,0.2116547368706791,0.0036061198654938,-1.800979816023366
rnd,313.csv,0.943582775240632,0.4662761941268324,0.1050493437136885,0.845145249090943,-0.3373788046680067
rnd,87.csv,0.1713527667994965,0.6029360988279218,0.0891571141270938,0.0044241934253001,-0.0120492522101493
rnd,85.csv,0.3216192627512446,0.4233141339938319,0.0794820112439335,0.0824112262168022,-0.0189541615197356
rnd,358.csv,-0.3097992872455587,0.5320420635319814,0.5956646853541607,-1.1113997573825016,-0.0177082088640687
rnd,181.csv,0.6290282381625512,0.7462587562718076,0.6958803874413735,0.0099406667976971,-0.1317236130597165
rnd,195.csv,0.5334554666963526,0.2448173979568904,0.0239504718192242,0.0433501951406937,-0.2889974832302187
rnd,36.csv,0.7560322763768337,0.5278574665488328,0.1759648309611837,0.0033526336540179,-0.3639617022232789
rnd,226.csv,0.14805591527272505,0.0045830361949669,0.0037023068554007,0.000443469746308,-0.0016227496560061
rnd,158.csv,0.36804739148588894,0.0276541245114038,0.2011638541581401,0.0070566973540726,-0.3113304570717452
rnd,170.csv,0.18472682963990786,0.0001396310832093,0.0322970596865785,0.0002657917932297,-0.0157735806959628
rnd,59.csv,0.422234817718557,0.578239006227502,0.1236998333249972,0.0039293025297824,-0.6153270884360031
rnd,115.csv,0.43506434922358217,0.54842101429298,0.7759481034387872,0.0117626209792945,-1.0811879060698026
rnd,111.csv,0.5764436193229129,0.9168552855505706,0.9616517172672456,0.0160764059489162,-0.944881304571395
rnd,52.csv,0.4998375844573031,0.420854216965297,0.0711639738868561,0.0019154582162569,-0.161330517820208
rnd,233.csv,0.19493706184868287,0.0777194276177816,0.0152049008953262,0.040592603186147,0.2080112554385913
rnd,406.csv,0.5786144134655616,0.8398399624540767,0.5474295948911755,0.0985456294605143,-1.501852316565592
rnd,259.csv,0.2575727345725978,0.1688903504197442,0.061675396742561,0.2448493464137052,-1.9380395110507285
rnd,458.csv,-0.05322819202165801,0.0456802822690124,0.1598220198898305,23.216279321532724,0.0012774586501185
rnd,152.csv,0.5379840552688022,0.3085094953060673,0.0153823669231047,0.0301063458417575,-0.1087247658391153
rnd,188.csv,0.2932492265439799,0.0006364795821391,0.0132700864434541,0.005636607796108,-0.0232720891145051
