hour,n,lam,io,sigma,sig_between,sig_within,frac_between,bimodal,gmm_sep,skew,frac90,p95,trace,vm
13,359,4.850391298580713,0.2231463058761109,0.13210074183302598,0.034678176564995083,0.1274677608768696,0.0689131328944498,False,0.16624386257763307,-1.145028164700893,0.0,1.0666666666666669,fastStorage,1053.csv
14,358,4.844320297951582,0.21396648044692737,0.14518039688147344,0.059246993690535744,0.13254109316470783,0.16653927816456454,False,0.17457720529870618,-1.3433396331748586,0.0,1.0666666666666669,fastStorage,1053.csv
15,359,4.813847990449661,0.22268205332272178,0.12212978201558532,0.021097695829567064,0.12029368597668562,0.029841928778270774,True,0.2147758988145413,0.1008888908975865,0.0,1.0666666666666669,fastStorage,1053.csv
16,360,4.8405555555555555,0.22018518518518515,0.12130819487689416,0.020081385783331233,0.11963451044456844,0.02740356584486985,True,0.21781641732486062,0.24880561537044407,0.0,1.0666666666666669,fastStorage,1053.csv
17,360,4.813888888888889,0.22018518518518518,0.12209458683807431,0.015968992671480473,0.12104577402048478,0.017106541843026336,True,0.21767487019232876,0.2181623267185067,0.0,1.0666666666666669,fastStorage,1053.csv
18,360,4.812592592592592,0.21537037037037038,0.12003940048998833,0.01632355783273977,0.11892434204012654,0.018491920127822362,True,0.20907879870188495,0.22611487213576964,0.0,1.0666666666666669,fastStorage,1053.csv
19,360,4.8321164021164025,0.2213095238095238,0.12336991919385665,0.01641202820748899,0.12227339159447285,0.01769725663820913,False,0.20899913301777442,-0.4125626074241907,0.0,1.0666666666666669,fastStorage,1053.csv
20,360,4.824600168350168,0.2195559764309764,0.12027951964271634,0.0167840193690398,0.11910272683403299,0.019471910919165867,True,0.21010743416260652,0.11492805892560545,0.0,1.0666666666666669,fastStorage,1053.csv
21,357,4.890569561157797,0.2209150326797385,0.11637905334116944,0.013406068199525271,0.11560433119920914,0.013269458740764387,True,0.197177056103037,0.2688243453764948,0.0,1.0666666666666669,fastStorage,1053.csv
22,358,4.753112529928172,0.22039106145251391,0.11921978858772841,0.015039030493708439,0.11826743234175656,0.015912667389047352,True,0.21094911120045198,0.15726917632724374,0.0,1.0666666666666669,fastStorage,1053.csv
23,360,4.8364417989418,0.21738095238095234,0.1356093577082522,0.028013892420674372,0.13268428591769102,0.042674416840593685,True,0.21595631123635747,-0.12980155176978306,0.0,1.0666666666666669,fastStorage,1053.csv
0,93,0.18996415770609312,0.7849462365591396,0.4029097933919916,0.3589689347114333,0.18296886490142544,0.7937762213931633,True,0.7086245698738034,-0.3824329421848926,0.0,0.2,fastStorage,96.csv
1,95,4.657543859649121,26.42105263157895,0.7267801176563574,0.3084390290644861,0.6580841167892948,0.1801078238309823,True,1.4545354035340519,1.7841734265861078,0.0,0.6199999999999998,fastStorage,96.csv
2,91,1.3743589743589746,13.929670329670332,0.5531449928326775,0.3641420640464912,0.4163771611025562,0.4333748738725742,False,0.7241081520815853,1.6617848187502233,0.0,0.2333333333333333,fastStorage,96.csv
3,90,0.197037037037037,0.7777777777777778,0.42535725723257994,0.3588135834257709,0.22843294120940735,0.7115903620521313,True,0.6836671481328129,-0.5886657710504679,0.0,0.2,fastStorage,96.csv
4,93,0.23830005120327696,0.8524321556579622,0.5074479051283616,0.41434147050572595,0.29295822609770694,0.6667052547745604,False,2.1323823777014543,1.1465801349225602,0.0,0.2,fastStorage,96.csv
5,99,0.17979797979797973,0.8074074074074074,0.4201411516539599,0.326565155624738,0.2643365022937738,0.6041562109209413,True,0.6880321262408122,-0.22829759085757267,0.0,0.2,fastStorage,96.csv
6,97,0.19862542955326457,0.6989690721649484,0.3947818278122075,0.34207633622849104,0.19706971295264966,0.7508129543876985,True,0.6830746680817235,-0.262975212295431,0.0,0.2,fastStorage,96.csv
7,95,0.46877192982456145,1.1712280701754385,0.597784099314432,0.37882400605563094,0.46242642855824084,0.40159312285171145,True,0.6187040604053005,2.359519850281341,0.0,0.2766666666666665,fastStorage,96.csv
8,101,1.135973597359736,1.9082508250825088,0.6839698843068045,0.5023321341546036,0.4641952494741247,0.539396298665697,True,0.6804792340106656,1.8838875860049318,0.0,0.5,fastStorage,96.csv
9,94,0.9074468085106381,1.564133738601824,0.6007459382744674,0.45540500068070844,0.39179327164752864,0.5746638842910412,False,2.75752870069756,1.8403725943152311,0.0,0.3,fastStorage,96.csv
10,91,0.2637362637362637,0.7362637362637363,0.4246117266590469,0.3774759576364509,0.19444027315044937,0.790304806059645,True,0.7371445192695245,-0.3428152551332786,0.0,0.2833333333333333,fastStorage,96.csv
11,93,0.4480286738351255,1.8057347670250896,0.6050975917294225,0.4711403544443414,0.37969706600236885,0.6062472194721119,True,0.8047391685605507,1.2481553065172826,0.0,0.4799999999999997,fastStorage,96.csv
12,87,0.2666666666666666,0.6329501915708813,0.351071364653396,0.2924012415573931,0.1943003268532835,0.6936934755795938,True,0.6826426382257984,-0.32273495647379097,0.0,0.2,fastStorage,96.csv
13,91,0.3479853479853479,1.3714285714285714,0.4631416646695376,0.34364758404841994,0.3104940249514546,0.5505526855796818,False,0.7850253915973355,0.3258035666330243,0.0,0.21666666666666667,fastStorage,96.csv
14,93,0.24711632453567933,8.140241120886282,0.5519265504999188,0.3701507750185506,0.4094036161294936,0.4497744212095311,False,0.5922676946613505,2.669438137965475,0.0,0.2,fastStorage,96.csv
15,98,25.223809523809535,136.53027210884352,0.9078842341434737,0.6700723955406008,0.6125820494764458,0.5447315192728573,True,1.8688168703180574,3.185660466545631,0.0,0.5866666666666656,fastStorage,96.csv
16,89,9.308828250401286,40.05275548421617,1.0328806420589363,0.8318866771596084,0.6122148128756977,0.6486763463676125,False,3.99816743453862,3.2159325358266906,0.0,1.4266666666666556,fastStorage,96.csv
17,91,0.1899005756148613,0.7978545264259551,0.41162478129128494,0.3352782230330876,0.23879588298978952,0.6634491869918896,True,0.7038511870342674,-0.36294206712674054,0.0,0.2,fastStorage,96.csv
18,87,0.1984674329501915,0.6911877394636016,0.37768083874382236,0.33439472495566946,0.17556475693048193,0.7839149229502875,True,0.7092063984533139,-0.3508402879269217,0.0,0.2,fastStorage,96.csv
19,89,0.20149812734082398,0.7018726591760299,0.3829970186534744,0.3118245184115072,0.2223784747112035,0.662872090512935,True,0.6757725510884129,-0.4797471714769328,0.0,0.2,fastStorage,96.csv
20,86,0.2093023255813953,0.8612403100775197,0.3822709409383002,0.28369940323874815,0.2562142089889465,0.5507750688408068,True,0.6575055639850269,-0.6250713874501342,0.0,0.2,fastStorage,96.csv
21,87,0.19693486590038306,0.8620689655172412,0.41544515889653866,0.3655741017411106,0.197358192601043,0.7743252794620441,True,0.7405486487683366,-0.4483995462173047,0.0,0.2,fastStorage,96.csv
22,92,0.18043478260869564,0.7123188405797103,0.37774892202519483,0.29571769212656607,0.2350431761496899,0.6128414747367629,True,0.6910809417052004,-0.04311965846078484,0.0,0.2,fastStorage,96.csv
23,94,0.19716312056737584,0.7985815602836878,0.3988466729360203,0.3411185264933417,0.206680476569859,0.7314736174581061,True,0.6615849609304663,-0.2632376168028979,0.0,0.2,fastStorage,96.csv
